latitude,longitude,name,status,type,colour,DNR,EIGANDI,DAGS
64.09932001275736,-21.8439137775886,21251,,Götuljós,blue,578,Reykjavíkurborg - eignasjóður,1994/01/26
64.09895349277383,-21.842952035301945,21254,,Götuljós,blue,578,Reykjavíkurborg - eignasjóður,1994/01/26
64.09915750583417,-21.84270704818798,21267,,Götuljós,blue,578,Reykjavíkurborg - eignasjóður,1994/01/26
64.09894837103298,-21.84386764357547,21256,,Götuljós,blue,578,Reykjavíkurborg - eignasjóður,1994/01/26
64.09884017991335,-21.840190630407257,21227,,Götuljós,blue,578,Reykjavíkurborg - eignasjóður,1994/01/26
64.09780214677001,-21.839609918016173,21275,,Götuljós,blue,578,Reykjavíkurborg - eignasjóður,1994/01/26
64.0995008754728,-21.848824919418494,21373,,Götuljós,blue,578,Menntasvið Reykjavíkur          ,1994/01/26
64.14486153898648,-21.885708472616315,61061,,Götuljós,blue,140,Reykjavíkurborg - eignasjóður,2001/11/26
64.11346560324745,-21.809844503104774,85577,,Götuljós,blue,605,Reykjavíkurborg - eignasjóður,2023/02/16
64.09828358187553,-21.84311087620424,21259,,Götuljós,blue,578,Reykjavíkurborg - eignasjóður,1994/01/26
64.1276093859388,-21.822926038372028,5768,,Götuljós,blue,154,Reykjavíkurborg - eignasjóður,1990/12/31
64.1278671302931,-21.813800913089423,20782,,Götuljós,blue,539,Reykjavíkurborg - eignasjóður,1990/12/31
64.11454634163007,-21.814797871250608,85545,,Götuljós,blue,605,Reykjavíkurborg - eignasjóður,2023/02/16
64.11314261778672,-21.808168504134887,85539,,Götuljós,blue,605,Reykjavíkurborg - eignasjóður,2023/02/16
64.11100194861336,-21.799984336380348,85578,,Götuljós,blue,202,Reykjavíkurborg - eignasjóður,2023/02/16
64.11262383712584,-21.804829546711712,85566,,Götuljós,blue,202,Reykjavíkurborg - eignasjóður,2023/02/16
64.11164428916871,-21.801772593578605,85553,,Götuljós,blue,202,Reykjavíkurborg - eignasjóður,2023/02/16
64.1517083023058,-21.88646926123583,61042,,Götuljós,blue,789,Reykjavíkurborg - eignasjóður,2002/12/11
64.1002680895845,-21.853891849039158,17951,,Götuljós,blue,500,Reykjavíkurborg - eignasjóður,1994/01/26
64.11950693698225,-21.867678249424053,17786,,Götuljós,blue,498,Reykjavíkurborg - eignasjóður,2002/11/15
64.11918548638052,-21.868434124402995,17801,,Götuljós,blue,498,Reykjavíkurborg - eignasjóður,2002/11/15
64.12162003382262,-21.875320426846024,16215,,Götuljós,blue,471,Reykjavíkurborg - eignasjóður,2002/11/15
64.12168174779077,-21.87675473697001,16212,,Götuljós,blue,471,Reykjavíkurborg - eignasjóður,2002/11/15
64.14433125679933,-21.89001413846089,61077,,Götuljós,blue,140,Reykjavíkurborg - eignasjóður,2001/11/22
64.14357822923947,-21.88990968907749,61086,,Götuljós,blue,140,Reykjavíkurborg - eignasjóður,2001/11/28
64.1458296018941,-21.887030170777592,60646,,Götuljós,blue,140,Reykjavíkurborg - eignasjóður,2001/11/26
64.14588556211422,-21.88575908179769,60659,,Götuljós,blue,140,Reykjavíkurborg - eignasjóður,2001/11/26
64.12496366491816,-21.76618120295865,62988,,Götuljós,blue,801,Gatnamálastofa-rekstur/viðhald  ,2004/04/26
64.12425906067455,-21.768690183067015,63032,,Götuljós,blue,801,Gatnamálastofa-rekstur/viðhald  ,2004/05/06
64.12349281260093,-21.747408581040855,71096,,Götuljós,blue,841,Reykjavíkurborg - eignasjóður,2008/11/24
