latitude,longitude,name,type,status,colour
64.14602259724003,-21.83433160458028,Light 174780,Mercury,on,red
64.12628511963018,-21.857697000466555,Light 139537,Halogen,off,pink
64.10338893509959,-21.835485002783862,Light 168908,Mercury,on,pink
64.08975017878494,-21.91287287230131,Light 106087,LED,off,red
64.11374837332724,-21.82089869987303,Light 102809,Halogen,on,purple
64.09532602987919,-21.898948165087905,Light 126985,Fluorescent,off,purple
64.1018798570796,-21.810077528179402,Light 114888,LED,on,green
64.14858787473308,-21.865447653134453,Light 178518,Halogen,on,red
64.10249558520958,-21.840830727128566,Light 154758,Fluorescent,on,green
64.09523368119403,-21.847040210404522,Light 116238,Halogen,on,purple
64.1001552413585,-21.852817266449588,Light 131527,Fluorescent,off,purple
64.08853212577519,-21.931059288735742,Light 140942,Halogen,on,pink
64.08642528883362,-21.80668685373942,Light 145325,LED,on,green
64.13514162400178,-21.83201505453502,Light 167950,Fluorescent,on,pink
64.14485583673176,-21.773963977726133,Light 153950,Fluorescent,off,blue
64.13225248931144,-21.780527197474804,Light 190038,LED,on,pink
64.14471842378362,-21.850035862125175,Light 142114,Mercury,off,red
64.12104573271417,-21.853104200375665,Light 185073,LED,off,blue
64.0821212236918,-21.861848447160117,Light 132877,Halogen,on,green
64.10239598806056,-21.906392648289515,Light 133436,Fluorescent,on,pink
64.1392002073195,-21.932850338536696,Light 152844,Mercury,on,pink
64.14199690722198,-21.939079546332678,Light 171219,LED,on,purple
64.09084226953146,-21.802316030454275,Light 109827,LED,off,blue
64.14677981238508,-21.881601687195477,Light 162002,Mercury,on,purple
64.13929843719833,-21.80302789629004,Light 148591,Fluorescent,on,blue
64.12747838451743,-21.92572769791312,Light 124233,LED,off,red
64.13938069904474,-21.83023700938814,Light 145723,LED,off,purple
64.09259792235338,-21.874489277193582,Light 181479,Fluorescent,off,green
64.14493048038497,-21.835775167381723,Light 172342,Fluorescent,on,pink
64.13891167885754,-21.89216406343657,Light 191747,LED,on,pink
64.10716044705818,-21.871654000157527,Light 106057,Fluorescent,on,pink
64.10973059170477,-21.816344103853794,Light 101325,Fluorescent,on,red
64.1123853612085,-21.87962975983956,Light 163780,Fluorescent,on,green
64.08051022194702,-21.84406911114138,Light 114441,Halogen,on,purple
64.12651632844207,-21.908404224526834,Light 172897,Halogen,on,pink
64.11731089079937,-21.788056855088293,Light 159215,Halogen,off,purple
64.08224248245243,-21.83068290582282,Light 136584,Mercury,off,green
64.09975604531095,-21.899023163794965,Light 183667,Fluorescent,on,blue
64.14559703404275,-21.86651337742329,Light 130067,LED,on,purple
64.09242646567482,-21.88825724865017,Light 185177,Halogen,on,blue
64.13112141941481,-21.90765346007621,Light 121987,Halogen,off,purple
64.08068304418174,-21.874134946435653,Light 113912,Halogen,on,purple
64.10764936596934,-21.788481707696846,Light 156546,Mercury,on,pink
64.08535257765949,-21.80137394314045,Light 146042,Mercury,on,green
64.08091674029349,-21.8106860121249,Light 143426,Fluorescent,on,blue
64.08718760209693,-21.945820403456548,Light 197643,Fluorescent,on,red
64.09030209658266,-21.80693779483309,Light 112415,Halogen,off,red
64.12770296304495,-21.827654507752797,Light 114692,LED,off,purple
64.09220971390062,-21.882314773505165,Light 174567,Mercury,on,purple
64.13253530866159,-21.852985959059794,Light 125775,Halogen,off,pink
64.11291590970274,-21.944582219790462,Light 125981,Fluorescent,off,green
64.13538520960498,-21.94805081330024,Light 127595,Halogen,on,blue
64.0969463222823,-21.90116716826448,Light 191878,Mercury,off,purple
64.13856189003764,-21.858728347608015,Light 167192,LED,on,pink
64.13334986170685,-21.802746117121796,Light 132303,LED,off,red
64.10319397847296,-21.888824169379188,Light 140329,Mercury,off,red
64.14188756685816,-21.920114664155125,Light 112412,Fluorescent,on,green
64.14266641152479,-21.887347758386284,Light 165446,Fluorescent,off,green
64.11704252096945,-21.87400924924509,Light 112305,Halogen,off,purple
64.13540038651112,-21.785285458377,Light 181415,LED,off,red
64.09896549942918,-21.93939676941321,Light 119165,LED,on,red
64.11420991979193,-21.93812742729941,Light 177428,Fluorescent,off,green
64.12279952383187,-21.777651760665744,Light 127429,LED,off,pink
64.12363531606591,-21.923971935941506,Light 185785,Mercury,off,blue
64.08468240774539,-21.940453582417216,Light 130925,Halogen,off,red
64.10802104429051,-21.795836922664446,Light 114541,Fluorescent,off,blue
64.12314337994832,-21.931997813779795,Light 105487,LED,off,red
64.14600648427142,-21.791411646196178,Light 142900,Mercury,off,purple
64.08407778694841,-21.913609800348404,Light 170452,Mercury,on,green
64.11655767458228,-21.86488286925776,Light 120848,LED,off,green
64.10853442830668,-21.856436159091924,Light 109097,Halogen,off,purple
64.09090986181637,-21.92027843822308,Light 150687,Fluorescent,on,pink
64.11627132342852,-21.935471411476453,Light 186633,Mercury,off,green
64.11932681155557,-21.846754246450573,Light 103142,Halogen,off,blue
64.1281989762816,-21.87036451992015,Light 100256,LED,on,pink
64.11763977916155,-21.845170752227578,Light 199045,LED,off,green
64.09544424356044,-21.783620180433285,Light 142375,Halogen,off,red
64.11178090091241,-21.946354047648892,Light 165195,Fluorescent,on,blue
64.13468745211581,-21.772259563414693,Light 185770,Mercury,off,purple
64.11087584916504,-21.792114032432863,Light 121514,Mercury,on,green
64.10153802465997,-21.944856536431807,Light 159559,Fluorescent,off,blue
64.13261872388998,-21.945097697434598,Light 126153,LED,off,red
64.09088453580365,-21.933329362624374,Light 159172,Fluorescent,off,green
64.1242689275401,-21.8795515163076,Light 192810,Fluorescent,off,green
64.09735739389971,-21.93695208234864,Light 144036,Fluorescent,off,red
64.12138754123728,-21.838476237936177,Light 118872,Halogen,off,red
64.08732946459813,-21.879909982983563,Light 179898,Mercury,off,pink
64.14135848509953,-21.900717746246535,Light 149643,LED,off,pink
64.09680101180014,-21.867496070968084,Light 174364,Fluorescent,on,pink
64.12647119440634,-21.788497475411706,Light 197489,Mercury,off,red
64.14315487150053,-21.790542192650168,Light 183188,Fluorescent,on,green
64.13481656236061,-21.85666443708401,Light 140572,Mercury,on,blue
64.0811327880216,-21.909994890318902,Light 105423,Halogen,on,pink
64.1416067388969,-21.843924970420197,Light 154642,LED,off,blue
64.12495521980937,-21.86884658530771,Light 186514,Halogen,off,purple
64.14343242225421,-21.85230300996579,Light 132681,Fluorescent,off,green
64.13305054032014,-21.851994482938768,Light 181954,Mercury,off,blue
64.09607302064117,-21.805062432793914,Light 148529,Mercury,off,blue
64.14492318723845,-21.80394921840959,Light 195265,LED,on,green
64.12155253065175,-21.897561534251743,Light 196794,Halogen,on,purple
64.14220366000247,-21.8721688110382,Light 118674,Halogen,off,blue
64.1192951132723,-21.819780485298207,Light 151702,LED,off,pink
64.08061006938489,-21.914074630707354,Light 171462,Halogen,on,blue
64.1364176016034,-21.938387982543397,Light 169954,Fluorescent,on,red
64.09026944561566,-21.857823770083243,Light 139087,Fluorescent,off,purple
64.08104565438866,-21.921519518031122,Light 123240,LED,off,green
64.09046963686538,-21.87729876619698,Light 103664,LED,off,purple
64.1074829139922,-21.809132273136075,Light 198170,Halogen,off,green
64.08270493884476,-21.843818038437494,Light 117093,Mercury,on,purple
64.12483860985675,-21.947037715469687,Light 176319,LED,off,green
64.1462092417248,-21.89119110735294,Light 143583,Mercury,off,green
64.09017910762394,-21.947759995055417,Light 111302,LED,on,green
64.1371564160447,-21.858600661462166,Light 197246,Halogen,off,blue
64.09606244206483,-21.8835237382305,Light 167988,LED,on,pink
64.09432743310266,-21.858749184324815,Light 173631,Fluorescent,on,blue
64.08417034026486,-21.842325562817074,Light 123362,LED,on,blue
64.08112146894817,-21.908821769170462,Light 143563,Halogen,off,purple
64.09562433523064,-21.820111980361588,Light 106618,Mercury,on,green
64.09085544263692,-21.844066960306932,Light 161798,Mercury,on,green
64.13415377103573,-21.80571496347494,Light 164001,LED,on,red
64.12463422739317,-21.907612591203996,Light 108620,Mercury,on,green
64.14718506647844,-21.913542285967672,Light 116986,LED,on,purple
64.1055535564354,-21.86879741533846,Light 139851,Halogen,on,green
64.11977946818962,-21.86023180102014,Light 115215,LED,on,blue
64.12175478458195,-21.82466128454175,Light 160467,LED,off,blue
64.1316128340617,-21.842824333825497,Light 172212,Mercury,on,pink
64.10439105629355,-21.815345951430164,Light 105545,Fluorescent,on,pink
64.13952754504852,-21.786079081674504,Light 198238,Halogen,on,green
64.09596064429114,-21.829859222458914,Light 110936,Mercury,off,pink
64.14412680254615,-21.862918164198597,Light 107771,LED,on,purple
64.11474178719338,-21.86982721787086,Light 167231,Fluorescent,on,purple
64.14521881659817,-21.817930171626152,Light 142565,Halogen,off,pink
64.0939868854159,-21.944864873541096,Light 117595,Fluorescent,on,blue
64.14890811730338,-21.946714573034548,Light 174333,Halogen,off,blue
64.10927574582774,-21.835076339843557,Light 182363,Halogen,off,pink
64.13711257153199,-21.788681075970743,Light 151298,Halogen,on,blue
64.14959269169607,-21.866170222290997,Light 129754,Fluorescent,off,green
64.12918362061957,-21.838033990040245,Light 156995,Fluorescent,off,pink
64.08036808627885,-21.909317078005532,Light 185595,LED,off,pink
64.0817186606831,-21.915219077112184,Light 133613,Mercury,on,red
64.09010319691114,-21.90800531684197,Light 119024,Mercury,off,pink
64.11132671783311,-21.935587666219778,Light 185772,Halogen,on,red
64.13861814734615,-21.93262285279186,Light 171767,Mercury,off,green
64.0922772265224,-21.819194506149547,Light 152866,LED,on,red
