OBJECTID,HLUTVERK,GERD,GLJ_ID,DNR,LAGNINGARAR,KERFI,EIGANDI,SVF,VERKNR,VBL,SYMBOL,SNUNINGUR,HEIMILD,DAGSINNSETNINGAR,DAGSLEIDRETTINGAR,NAKVAEMNIXY,NAKVAEMNIZ,FLOKKUR_IST120,GLOBALID,STADA,DMM_GATLISTI,X,Y,Z,TENGINR,GREIN,KENNI,STADUR,VIDHALD,LAT,LON,Lóð,Viðfang,Ljósastaur XID,Ljósabúnaður XID,Auðkenni ljósabúnaðar (OBJECTID),Tegund ljósabúnaðar,Heiti tegundar ljósabúnaðar,Framleiðandi ljósabúnaðar,Ljósgjafi,Skráð afl [W],Notað ljósstreymi [LM],Litarhitastig [K],Ljósdreifing,Birgir,Ábyrgðartímabil [Ár],Stjórneining,Annað,Lýsing,Dags. kveiking,Dags. uppsett,Eigandi Umsjón-starfsmaður,Kennitala eiganda,Veitutegund,Uppsett afl [W],Uppsett ljósstreymi [ln],Straumfesta,Miðnæturdimming,Tengill (Zhaga),Halli ljósabúnaðar,Litur ljósabúnaðar,Þyngd [kg],Vindflötur [m²],Ljóshlíf,Lampa verkefni,Staða
1828902,Götuljós,6,66360,432,2005,Götuljósakort,Gatnamálastofa-rekstur/viðhald,0,70093170,710977.0,106,344.2192467,Veita_43002,2005/05/18 15:55:55+00,2006/03/16 13:54:39+00,0.3,,403.0,{10BB98DF-D40C-4AC3-A4BC-176EF8A8EDC4},Innfært,https://dmm.on.is/service/HandlerGatlistiOpinLeitEignaflokkur.ashx?Gatlisti=22553&OpinLeit=drst0432&Eignaflokkur=15440&Sleppa=0,356993.604,407413.236,0.0,,,,Vesturbær Götulýsing,,64.13966573,-21.93821809,,Vesturbær Götulýsing            ,,62306,1342,Siteco-NA150W,Siteco-NA150W,Siteco,,150,,2000.0,,,,,,ST100 Siteco 150W NA,1032006,,,,G,150,,,,,,,,,,,
1833544,Götuljós,17,27050,106,1995,Götuljósakort,Gatnamálastofa-rekstur/viðhald,0,70096747,1214361.0,117,165.896492,Veita_43002,1995/11/28 00:00:00+00,2019/05/07 09:55:27+00,0.0,,403.0,{6D09B3F4-08F4-4326-96F7-6FFE63943AFD},Innfært,https://dmm.on.is/service/HandlerGatlistiOpinLeitEignaflokkur.ashx?Gatlisti=22553&OpinLeit=drst0106&Eignaflokkur=15440&Sleppa=0,356946.9668,407555.684,0.0,,,,Vesturbær Götulýsing,,64.14092267,-21.9393109,,Vesturbær Götulýsing            ,,90160,5628,LQ93-3BFR-LED12W2.7K,LQ93-3BFR-LED12W2.7K,GMR Enlights,LED,12,,2700.0,,,,,,LQ93-3BFR 12W 2.7K,15042019,1011900.0,,,G,12,,,,,,,,,,,
1833586,Götuljós,18,66352,432,2005,Götuljósakort,Gatnamálastofa-rekstur/viðhald,0,70096747,711005.0,118,298.6639571,Veita_43002,2005/05/18 15:57:09+00,2019/05/07 10:51:27+00,0.3,,403.0,{46461269-4F27-4D8C-896F-3C9E420AB213},Innfært,https://dmm.on.is/service/HandlerGatlistiOpinLeitEignaflokkur.ashx?Gatlisti=22553&OpinLeit=drst0432&Eignaflokkur=15440&Sleppa=0,356963.529,407387.048,0.0,,,,Vesturbær Götulýsing,,64.13941854,-21.93881013,,Vesturbær Götulýsing            ,,90174,5628,LQ93-3BFR-LED12W2.7K,LQ93-3BFR-LED12W2.7K,GMR Enlights,LED,12,,2700.0,,,,,,LQ93-3BFR 12W 2.7K,15042019,1011900.0,,,G,12,,,,,,,,,,,
1834182,Götuljós,17,27043,106,2005,Götuljósakort,Gatnamálastofa-rekstur/viðhald,0,70096747,1214363.0,117,90.0,Áætlað 2009 - Dreifing,1995/11/28 00:00:00+00,2019/05/07 09:55:27+00,0.0,,403.0,{D7D0ADDA-4D45-419C-B95D-04B32D6EC3F6},Innfært,https://dmm.on.is/service/HandlerGatlistiOpinLeitEignaflokkur.ashx?Gatlisti=22553&OpinLeit=drst0106&Eignaflokkur=15440&Sleppa=0,356694.832,407620.694,0.0,,,,Vesturbær Götulýsing,,64.14139997,-21.94454621,,Vesturbær Götulýsing            ,,90153,5628,LQ93-3BFR-LED12W2.7K,LQ93-3BFR-LED12W2.7K,GMR Enlights,LED,12,,2700.0,,,,,,LQ93-3BFR 12W 2.7K,15042019,1011900.0,,,G,12,,,,,,,,,,,
1834183,Götuljós,17,27047,106,2005,Götuljósakort,Gatnamálastofa-rekstur/viðhald,0,70096747,1214672.0,117,90.0,Áætlað 2009 - Dreifing,1995/11/28 00:00:00+00,2019/05/07 09:55:27+00,0.0,,403.0,{929DB221-6CE1-4F1F-A90A-8E7B46D2E81A},Innfært,https://dmm.on.is/service/HandlerGatlistiOpinLeitEignaflokkur.ashx?Gatlisti=22553&OpinLeit=drst0106&Eignaflokkur=15440&Sleppa=0,356830.08,407576.479,0.0,,,,Vesturbær Götulýsing,,64.14106025,-21.94172898,,Vesturbær Götulýsing            ,,90157,5628,LQ93-3BFR-LED12W2.7K,LQ93-3BFR-LED12W2.7K,GMR Enlights,LED,12,,2700.0,,,,,,LQ93-3BFR 12W 2.7K,15042019,1011900.0,,,G,12,,,,,,,,,,,
1834493,Götuljós,18,66355,432,2005,Götuljósakort,Gatnamálastofa-rekstur/viðhald,0,70096747,711001.0,118,211.1389724,Veita_43002,2005/05/18 15:57:10+00,2019/05/07 10:51:27+00,0.3,,403.0,{98871E0C-AEAB-433E-A9AA-EDBCD4B30886},Innfært,https://dmm.on.is/service/HandlerGatlistiOpinLeitEignaflokkur.ashx?Gatlisti=22553&OpinLeit=drst0432&Eignaflokkur=15440&Sleppa=0,356889.275,407398.402,0.0,,,,Vesturbær Götulýsing,,64.13948932,-21.94034438,,Vesturbær Götulýsing            ,,90177,5628,LQ93-3BFR-LED12W2.7K,LQ93-3BFR-LED12W2.7K,GMR Enlights,LED,12,,2700.0,,,,,,LQ93-3BFR 12W 2.7K,15042019,1011900.0,,,G,12,,,,,,,,,,,
1834529,Götuljós,18,66359,432,2005,Götuljósakort,Gatnamálastofa-rekstur/viðhald,0,70096747,710999.0,118,271.397181,Veita_43002,2005/05/18 15:57:11+00,2019/05/07 10:51:27+00,0.3,,403.0,{B4CA41CA-9433-43B9-B6E4-96ADA8B29D51},Innfært,https://dmm.on.is/service/HandlerGatlistiOpinLeitEignaflokkur.ashx?Gatlisti=22553&OpinLeit=drst0432&Eignaflokkur=15440&Sleppa=0,356798.656,407491.434,0.0,,,,Vesturbær Götulýsing,,64.14028511,-21.94229245,,Vesturbær Götulýsing            ,,90181,5628,LQ93-3BFR-LED12W2.7K,LQ93-3BFR-LED12W2.7K,GMR Enlights,LED,12,,2700.0,,,,,,LQ93-3BFR 12W 2.7K,15042019,1011900.0,,,G,12,,,,,,,,,,,
1834606,Götuljós,17,27042,106,1996,Götuljósakort,Gatnamálastofa-rekstur/viðhald,0,70096747,1214362.0,117,90.0,Áætlað 2009 - Dreifing,1995/11/28 00:00:00+00,2019/05/07 09:55:27+00,0.0,,403.0,{4F289163-0617-46A4-A495-3C6F2F1222A8},Innfært,https://dmm.on.is/service/HandlerGatlistiOpinLeitEignaflokkur.ashx?Gatlisti=22553&OpinLeit=drst0106&Eignaflokkur=15440&Sleppa=0,356661.193,407635.732,0.0,,,,Vesturbær Götulýsing,,64.14152066,-21.94525078,,Vesturbær Götulýsing            ,,90152,5628,LQ93-3BFR-LED12W2.7K,LQ93-3BFR-LED12W2.7K,GMR Enlights,LED,12,,2700.0,,,,,,LQ93-3BFR 12W 2.7K,15042019,1011900.0,,,G,12,,,,,,,,,,,
1834748,Götuljós,18,66353,432,2005,Götuljósakort,Gatnamálastofa-rekstur/viðhald,0,70096747,710981.0,118,298.6639571,Veita_43002,2005/05/18 15:57:10+00,2019/05/07 10:51:27+00,0.3,,403.0,{47A9EE81-9A2E-4364-9A17-3A546348019C},Innfært,https://dmm.on.is/service/HandlerGatlistiOpinLeitEignaflokkur.ashx?Gatlisti=22553&OpinLeit=drst0432&Eignaflokkur=15440&Sleppa=0,356940.49,407377.385,0.0,,,,Vesturbær Götulýsing,,64.13932236,-21.93927358,,Vesturbær Götulýsing            ,,90175,5628,LQ93-3BFR-LED12W2.7K,LQ93-3BFR-LED12W2.7K,GMR Enlights,LED,12,,2700.0,,,,,,LQ93-3BFR 12W 2.7K,15042019,1011900.0,,,G,12,,,,,,,,,,,
1838794,Götuljós,6,66371,432,2005,Götuljósakort,Gatnamálastofa-rekstur/viðhald,0,80036974,710974.0,106,163.6104597,Veita_43002,2005/05/18 15:55:55+00,2006/03/16 15:28:53+00,0.3,,403.0,{7DF005FD-DACE-407D-BB07-94395D9DC0F6},Innfært,https://dmm.on.is/service/HandlerGatlistiOpinLeitEignaflokkur.ashx?Gatlisti=22553&OpinLeit=drst0432&Eignaflokkur=15440&Sleppa=0,357025.818,407399.276,0.0,,,,Vesturbær Götulýsing,,64.13955407,-21.93754385,,Vesturbær Götulýsing            ,,62314,1342,Siteco-NA150W,Siteco-NA150W,Siteco,,150,,2000.0,,,,,,ST100 Siteco 150W NA,1032006,,,,G,150,,,,,,,,,,,
